127.0.0.1 - - [17/Jun/2020:09:59:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Jun/2020:09:59:51 +0900] "GET /2020_0611_HtmlTest/06_CSS.html HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:09:27 +0900] "GET /2020_0611_HtmlTest/06_css_test1.html HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:11:55 +0900] "GET /2020_0611_HtmlTest/05_form_tags.html HTTP/1.1" 200 3656
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:12:07 +0900] "GET /2020_0611_HtmlTest/06_css_test1.html HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:23:48 +0900] "GET /2020_0611_HtmlTest/06_css_test1.html HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:23:48 +0900] "GET /2020_0611_HtmlTest/WebContent/css/mystyle.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:24:05 +0900] "GET /2020_0611_HtmlTest/06_css_test1.html HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:24:05 +0900] "GET /2020_0611_HtmlTest/css/mystyle.css HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:25:55 +0900] "GET /2020_0611_HtmlTest/06_css_test1.html HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:25:55 +0900] "GET /2020_0611_HtmlTest/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:27:03 +0900] "GET /2020_0611_HtmlTest/06_css_test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:27:03 +0900] "GET /2020_0611_HtmlTest/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:27:19 +0900] "GET /2020_0611_HtmlTest/06_css_test1.html HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:27:19 +0900] "GET /2020_0611_HtmlTest/css/mystyle.css HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:27:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:27:25 +0900] "GET /2020_0611_HtmlTest/06_css_test1.html HTTP/1.1" 304 -
